Descripcion,Marca,Compra Total,Ingreso Total,Pendiente,Estado,Fecha,Año
ESPATULA PINTOR LAMINADA CABO PLASTICO - 50 MM,BIASSONI,36,,36.0,INCOMPLETO,F. 29-1-2026,2026
AEROSOL SMART PAINT AA BLANCO BRILLANTE  350ML/250G,DOBLE A - AE,72,72.0,0.0,FULL,F. 29-1-2026,2026
PANTALON CARGO DEL NORTE MUJER - PAMPERO VERDE  TALLE 42,PAMPERO,2,,2.0,INCOMPLETO,F. 29-1-2026,2026
REGULADOR GLP C/1 MAN. (PROP. Y OTROS),FERROLAN,15,15.0,0.0,FULL,F. 29-1-2026,2026
AEROSOL USO GENERAL NEGRO MATE 250 GR,TEKBOND,60,,60.0,INCOMPLETO,F. 29-1-2026,2026
"DISCO ""FENOBOND"" 115X22  36",DOBLE A - LIJ,2000,1000.0,1000.0,PARCIAL,F. 29-1-2026,2026
AEROSOL SMART PAINT AA ROJO  350 ML/250G,DOBLE A - AE,72,58.0,14.0,PARCIAL,F. 29-1-2026,2026
BALDE PLASTICO 12 LTS. CON PICO,SINA,60,3.0,57.0,PARCIAL,F. 29-1-2026,2026
TRAPO DE PISO GRIS 48 X 62 APROX,SINA,2400,1186.0,1214.0,PARCIAL,F. 29-1-2026,2026
BOLSAS 90 X120 CM AMARILLAS 80 MICRONES,FASTER BAGS,3000,3000.0,0.0,FULL,F. 29-1-2026,2026
"MORSA DE BANCO Nº 8 - 8"" BARBERO (20)",BARBERO,2,1.0,1.0,PARCIAL,F. 29-1-2026,2026
POLIETILENO NEGRO PREMIUM 3 X 50 MT  MICR 200 NEGRO,AGROREDES,750,500.0,250.0,PARCIAL,F. 29-1-2026,2026
"CEPILLO CIRCULAR TRENZADO M14 115X6XM14 (ACERO AL CARBONO,METAL,MADERA",NORTON,600,326.0,274.0,PARCIAL,F. 29-1-2026,2026
AEROSOL SMART PAINT AA AZUL  350 ML/250G,DOBLE A - AE,72,72.0,0.0,FULL,F. 29-1-2026,2026
AEROSOL SMART PAINT AA VERDE  350 ML/250G,DOBLE A - AE,72,24.0,48.0,PARCIAL,F. 29-1-2026,2026
BOLSAS 90 X120 CM ROJAS 80 MICRONES,FASTER BAGS,3000,3000.0,0.0,FULL,F. 29-1-2026,2026
BOLSAS 90 X120 CM VERDES 80 MICRONES,FASTER BAGS,3000,3000.0,0.0,FULL,F. 29-1-2026,2026
CANDADO BRONCE CASTLE D/TRABA Nº 40,FERRETERIA,40,40.0,0.0,FULL,F. 29-1-2026,2026
AEROSOL SMART PAINT AA AMARILLO  350ML/250G,DOBLE A - AE,72,72.0,0.0,FULL,F. 29-1-2026,2026
BOLSA RAFIA 40 X 60,AGROMARC,3000,3000.0,0.0,FULL,F. 29-1-2026,2026
SOGA TRENZADA 10 MM X METRO,NAVEGANTE,500,500.0,0.0,FULL,F. 29-1-2026,2026
"MORSA DE BANCO CON YUNQUE 10"" BARBERO",BARBERO,4,4.0,0.0,FULL,F. 29-1-2026,2026
ESCUADRA CON SOMBRERO BREMEN® 400X250MM DIN 875/1,BREMEN,10,10.0,0.0,FULL,F. 29-1-2026,2026
ESCUADRA CON SOMBRERO BREMEN® 500X330MM DIN 875/1,BREMEN,10,10.0,0.0,FULL,F. 29-1-2026,2026
CINTA METRICA EVEL PREMIUMBLOK - AUTOMATICA 8 MTS,EVEL,30,30.0,0.0,FULL,F. 29-1-2026,2026
CINTA METRICA EVEL PREMIUMBLOK - AUTOMATICA 5 MTS,EVEL,30,30.0,0.0,FULL,F. 29-1-2026,2026
LAPIZ CARPINTERO GARDEX CARPINTERO,FERRETERIA,200,200.0,0.0,FULL,F. 29-1-2026,2026
"CABO MADERA PALA 0,70 EMP. PLASTICA",FERRETERIA,40,40.0,0.0,FULL,F. 29-1-2026,2026
"ABRAZADERA PERFECTO 7MM 8-12 (1/2"")",FERRETERIA,100,100.0,0.0,FULL,F. 29-1-2026,2026
MECHA SDS PLUS 5X -  10X250X310,BOSCH,10,4.0,6.0,PARCIAL,F. 19-1-2026,2026
"DISCO ""FENOBOND"" 178X22   36",DOBLE A - LIJ,2000,1890.0,110.0,PARCIAL,F. 19-1-2026,2026
MARTILLO DE CARPINTERO MANGO FIBRA DE VIDRIO 16OZ,IRIMO,30,30.0,0.0,FULL,F. 19-1-2026,2026
DETERGENTE CRISTALINO ZAP 5 L,SINA,550,547.0,3.0,PARCIAL,F. 19-1-2026,2026
GLADE AEROSOL 360CC HARMONY,JHONSON,200,200.0,0.0,FULL,F. 19-1-2026,2026
GLADE AEROSOL 360CC FLORES TROPICAL Y COCO,JHONSON,200,200.0,0.0,FULL,F. 19-1-2026,2026
BOBINA PAPEL HOJA SIMPLE 240 M X 20 CM    X ROLLO,SINA,2000,2000.0,0.0,FULL,F. 19-1-2026,2026
"LIMA BREMEN® MEDIA CAÑA  BASTARDA  12"" C/CABO Y BLISTER",BREMEN,15,15.0,0.0,FULL,F. 19-1-2026,2026
LAMPAZO MOPA ALGODON PABILO RETORCIDO,SINA,50,50.0,0.0,FULL,F. 19-1-2026,2026
PINCEL PROFESIONAL  (# 1500) S 1 Nº 10,MATEZZ,500,500.0,0.0,FULL,F. 19-1-2026,2026
PINCEL ELEFANTE SERIE 1000 Nº 15,EL GALGO,500,,500.0,INCOMPLETO,F. 19-1-2026,2026
CEPILLO DE ACERO MANGO CURVO 4X19,CALABRO,30,,30.0,INCOMPLETO,F. 19-1-2026,2026
FLAP PLANO-FIBRA   180MM-G  40,BULONFER,300,300.0,0.0,FULL,F. 19-1-2026,2026
ARNES A CREMALLERA PARA CARETA Y FACIAL,FRAVIDA,20,,20.0,INCOMPLETO,F. 19-1-2026,2026
FISCHER - MECHA ACERO RAPIDO  HSS 338 RED.9.5 F3 16.0 MM,FISCHER,30,,30.0,INCOMPLETO,F. 19-1-2026,2026
MECHA SDS PLUS 5X -  12X150X210,BOSCH,10,,10.0,INCOMPLETO,F. 19-1-2026,2026
"NIVEL BIASSONI TORPEDO 9"" B/MAGNETICA",BIASSONI,20,3.0,17.0,PARCIAL,F. 19-1-2026,2026
VENTOSA GOMA NEGRA BUFALO VEN-01,SHADA,100,,100.0,INCOMPLETO,F. 19-1-2026,2026
MECHA SDS PLUS-1    6 X210,BOSCH,10,10.0,0.0,FULL,F. 19-1-2026,2026
WD-40® 311G,CAMPI,48,48.0,0.0,FULL,F. 19-1-2026,2026
ESCOBA BICOLOR SINA 7.5 CM BASE PLASTICA,SINA,100,100.0,0.0,FULL,F. 19-1-2026,2026
PULVERIZADOR SINA SPLASH 1 LT APROX ANATOMICO -  2101000002,GEN21,200,200.0,0.0,FULL,F. 19-1-2026,2026
PORTA BOBINA INDUSTRIAL DE PIE,MAKROCORP,30,30.0,0.0,FULL,F. 19-1-2026,2026
MAZA FORJADA - 2000 GRS - CON CABO DE FIBRA,BIASSONI,15,15.0,0.0,FULL,F. 19-1-2026,2026
CABO ESCOBA 1.20M PALO CON ROSCA PINO MADERA - ECONOMICO,SINA,200,200.0,0.0,FULL,F. 19-1-2026,2026
TEFLON ALTA DENSIDAD  3/4X10,LATYN - PLAS,200,200.0,0.0,FULL,F. 19-1-2026,2026
HOJA SIERRA SIN-PAR ACERO RAP. 32 D,FERRETERIA,100,100.0,0.0,FULL,F. 19-1-2026,2026
TRAPO STOKINETE 100% ALGODON POR 10KG,TRAPOSLIMP,60,60.0,0.0,FULL,F. 19-1-2026,2026
POLIETILENO NEGRO PREMIUM 4 X 50 MT  MICR 200 NEGRO,AGROREDES,2000,2000.0,0.0,FULL,F. 19-1-2026,2026
CINTA METRICA EVEL PREMIUMBLOK - AUTOMATICA 5 MTS,EVEL,50,50.0,0.0,FULL,F. 19-1-2026,2026
CINTA METRICA EVEL PREMIUMBLOK - AUTOMATICA 10 MTS,EVEL,50,50.0,0.0,FULL,F. 19-1-2026,2026
CUCHILLA METALICA RETRACTIL BREMEN® BLIST,BREMEN,20,20.0,0.0,FULL,F. 19-1-2026,2026
"DISCO DE CORTE CD T42  MASTER ACERO 115X3,0X22.2",DOBLE A - DIS,1000,1000.0,0.0,FULL,F. 19-1-2026,2026
"DISCO CORTE PLANO BNA 12 177,8X1,6X22,2",NORTON,1500,1500.0,0.0,FULL,F. 19-1-2026,2026
ALAMBRE LINCOLN MERITS-6 / 0.90 MM / 15.0-BPN-KG,LINCOLN CON,10,10.0,0.0,FULL,F. 19-1-2026,2026
CINTA AISLADORA DOBLE A VERDE 18 X 10,DOBLE A - CIN,300,300.0,0.0,FULL,F. 19-1-2026,2026
MANDRIL PROMOLINE 13MM+VASTAGO+TORNILLO,BOSCH,10,10.0,0.0,FULL,F. 19-1-2026,2026
MECHA SDS PLUS-1    8 X210,BOSCH,10,10.0,0.0,FULL,F. 19-1-2026,2026
"TENAZA ARMADOR A3 - 300 MM (12"") - M/C - CON DIPPING",BIASSONI,30,30.0,0.0,FULL,F. 19-1-2026,2026
CUCHARA ALBAÑIL BIASSONI  N° 8,BIASSONI,30,30.0,0.0,FULL,F. 19-1-2026,2026
"LLAVES AJUSTABLE DE TUERCA CENTRAL DE 34 MM FOSFATADO 12"" - 300 MM",BAHCO,15,15.0,0.0,FULL,F. 19-1-2026,2026
BALDE VOSS 2000 ALBAÑIL PLASTICO NEGRO,FERRETERIA,30,30.0,0.0,FULL,F. 19-1-2026,2026
GLADE AEROSOL 360CC POTPURRI,JHONSON,200,200.0,0.0,FULL,F. 19-1-2026,2026
BLEM AERO MADERA ORIGINAL 360CC,JHONSON,600,600.0,0.0,FULL,F. 19-1-2026,2026
FRANELA SINA 100% ALGODON 40*50,SINA,500,500.0,0.0,FULL,F. 19-1-2026,2026
DETERGENTE CONCENTRADO 40% DX 111 - MULTIUSO - 5L,SINA,50,50.0,0.0,FULL,F. 19-1-2026,2026
RODILLO ARTE FOAM Nº 16,EL GALGO,500,500.0,0.0,FULL,F. 19-1-2026,2026
CEPILLO CIRCULAR TRENZADO 150 C6 EJE 22 ALAMB 0.5,FPL,500,500.0,0.0,FULL,F. 19-1-2026,2026
MECHA / BROCA  A. RAPIDO  A114 4.00MM,DORMER,30,30.0,0.0,FULL,F. 19-1-2026,2026
MECHA / BROCA  A. RAPIDO  A114 5.00MM,DORMER,30,30.0,0.0,FULL,F. 19-1-2026,2026
MECHA / BROCA  A. RAPIDO  A114 6.00MM,DORMER,30,30.0,0.0,FULL,F. 19-1-2026,2026
MECHA / BROCA  A. RAPIDO  A114 8.00MM,DORMER,30,30.0,0.0,FULL,F. 19-1-2026,2026
MECHA / BROCA  A. RAPIDO  A114 10.00MM,DORMER,30,30.0,0.0,FULL,F. 19-1-2026,2026
MECHA / BROCA  A. RAPIDO  A114 12.00MM,DORMER,30,30.0,0.0,FULL,F. 19-1-2026,2026
CINTA TRANSPARENTE C292 48 X 40,DOBLE A - CIN,600,600.0,0.0,FULL,F. 19-1-2026,2026
DISCO FLAP ULTRA ZIR PLASTICO ANG 115X22 #40,DOBLE A - DIS,300,300.0,0.0,FULL,F. 19-1-2026,2026
CINTA 903 48 X 40,DOBLE A - CIN,600,600.0,0.0,FULL,F. 19-1-2026,2026
TUBO DE CONTACTO M8X30MM DIAM 0.9,FERROLAN,20,20.0,0.0,FULL,F. 19-1-2026,2026
CINTA AISLADORA DOBLE A NEGRO 18 X 20,DOBLE A - CIN,500,500.0,0.0,FULL,F. 19-1-2026,2026
TAPA DE BIDONES STANDARD,PRONEXT,30.0,10.0,20.0,PARCIAL,F. 2-12-2025,2025
TAPA AMARILLA STANDARD ANTIVENTEO,PRONEXT,30.0,10.0,20.0,PARCIAL,F. 2-12-2025,2025
"GUIA ESPIRAL 1,20 MM X 4,50 M ESPECIAL",SUMIG,20.0,6.0,14.0,PARCIAL,F. 2-12-2025,2025
MACHO CAJA VERDE NPT 3/4X14,BULONFER,5.0,2.0,3.0,PARCIAL,F. 2-12-2025,2025
CORREA HORMIGONERA A-33,DEPER,20.0,20.0,0.0,FULL,F. 2-12-2025,2025
MACHO A/RAP.NPT 1/2X14,BULONFER,5.0,5.0,0.0,FULL,F. 2-12-2025,2025
MACHO A/RAP.NPT 3/4 x 14,BULONFER,5.0,5.0,0.0,FULL,F. 2-12-2025,2025
ORING -004ARO NITRILO PICO ANTIVENTEO,PRONEXT,30.0,30.0,0.0,FULL,F. 2-12-2025,2025
MACHO CAJA VERDE NPT 1/2X14,BULONFER,5.0,4.0,1.0,PARCIAL,F. 2-12-2025,2025
RODILLO ARTE FOAM Nº 11,EL GALGO,1000.0,1000.0,0.0,FULL,F. 2-12-2025,2025
ACEITEX LIMPIA CONTACTOS 440CC,FERRETERIA,6.0,6.0,0.0,FULL,F. 2-12-2025,2025
"TUBO DE CONTACTO M-8 1,2 L 30MM",BAW,400.0,400.0,0.0,FULL,F. 2-12-2025,2025
VARILLA ER70S-3 MERIT JG-51 X CAJA DE 5 KG,LINCOLN CON,300.0,300.0,0.0,FULL,F. 2-12-2025,2025
PICO BIDONES STANDARD,PRONEXT,30.0,30.0,0.0,FULL,F. 2-12-2025,2025
CINTA METRICA 5M X 25MM,IRIMO,36.0,36.0,0.0,FULL,F. 2-12-2025,2025
QUITA SARRO Y OXIDO GEL 1L,MERCLIN,6.0,6.0,0.0,FULL,F. 2-12-2025,2025
MR MUSCULO CREMA FLORAL,JHONSON,6.0,6.0,0.0,FULL,F. 2-12-2025,2025
MR MUSCULO CREMA CITRUS,JHONSON,6.0,6.0,0.0,FULL,F. 2-12-2025,2025
MR MUSCULO EXT POWER GATILLO 500 CC,JHONSON,6.0,6.0,0.0,FULL,F. 2-12-2025,2025
LAPICES DE TEMPERATURA PARA 120°C,TEMPILSTIK,36.0,36.0,0.0,FULL,F. 2-12-2025,2025
CINTA AISLADORA DOBLE A NEGRO 18 X 20,DOBLE A - CIN,300.0,300.0,0.0,FULL,F. 2-12-2025,2025
CINTA AISLADORA DOBLE A VERDE 18 X 10,DOBLE A - CIN,200.0,200.0,0.0,FULL,F. 2-12-2025,2025
BUSA WP/17/18/26 Ø 12.7MM (1/2 # 8,FERROLAN,200.0,200.0,0.0,FULL,F. 2-12-2025,2025
"BROCA ESCALONADA HSS 13 ESCALONES 6-30MM (LARGO COMPLETO 93,5MM)",BOSCH,1.0,1.0,0.0,FULL,F. 2-12-2025,2025
MANDRIL PROMOLINE 13MM+VASTAGO+TORNILLO,BOSCH,10.0,10.0,0.0,FULL,F. 2-12-2025,2025
CUCHILLA METALICA RETRACTIL BREMEN® BLIST,BREMEN,10.0,10.0,0.0,FULL,F. 2-12-2025,2025
MACHO CAJA ROJA MA 6X1.00,BULONFER,5.0,5.0,0.0,FULL,F. 2-12-2025,2025
MACHO CAJA ROJA MA 8X1.25,BULONFER,5.0,5.0,0.0,FULL,F. 2-12-2025,2025
"FISCHER - MECHA ACERO RAPIDO  HSS DIN 338 F3  1,0 MM",FISCHER,10.0,10.0,0.0,FULL,F. 2-12-2025,2025
"FISCHER - MECHA ACERO RAPIDO  HSS DIN 338 F3  3,0 MM",FISCHER,10.0,10.0,0.0,FULL,F. 2-12-2025,2025
"FISCHER - MECHA ACERO RAPIDO  HSS DIN 338 F3  4,0 MM",FISCHER,10.0,10.0,0.0,FULL,F. 2-12-2025,2025
"FISCHER - MECHA ACERO RAPIDO  HSS DIN 338 F3  6,0 MM",FISCHER,10.0,10.0,0.0,FULL,F. 2-12-2025,2025
"FISCHER - MECHA ACERO RAPIDO  HSS DIN 338 F3  8,0 MM",FISCHER,10.0,10.0,0.0,FULL,F. 2-12-2025,2025
"FISCHER - MECHA ACERO RAPIDO  HSS DIN 338 F3  10,0 MM",FISCHER,10.0,10.0,0.0,FULL,F. 2-12-2025,2025
FISCHER - MECHA ACERO RAPIDO  HSS 338 RED.9.5 F3 13.0 MM,FISCHER,10.0,10.0,0.0,FULL,F. 2-12-2025,2025
FILM STRETCH 0.5X350 VIRGEN,AGROREDES,40.0,40.0,0.0,FULL,F. 2-12-2025,2025
RODILLO ARTE FOAM Nº 07,EL GALGO,1000.0,1000.0,0.0,FULL,F. 2-12-2025,2025
RODILLO ARTE FOAM Nº 16,EL GALGO,1000.0,1030.0,-30.0,FULL,F. 2-12-2025,2025
ROD.GALGO DORADO Nº 22,EL GALGO,30.0,30.0,0.0,FULL,F. 2-12-2025,2025
AEROSOL USO GENERAL NEGRO MATE 250 GR,TEKBOND,72.0,72.0,0.0,FULL,F. 2-12-2025,2025
AEROSOL SMART PAINT AA ROJO  350 ML/250G,DOBLE A - AE,72.0,72.0,0.0,FULL,F. 2-12-2025,2025
TEFLON ALTA DENSIDAD  1/2X40,LATYN - PLAS,100.0,100.0,0.0,FULL,F. 2-12-2025,2025
"DISCO ""FENOBOND"" 178X22   36",DOBLE A - LIJ,1000.0,1000.0,0.0,FULL,F. 2-12-2025,2025
CEPILLO CIRCULAR TRENZADO 150 C6 EJE 22 ALAMB 0.5,FPL,500.0,500.0,0.0,FULL,F. 2-12-2025,2025
"DISCO CORTE PLANO LINEA QUANTUM 115,3X1,6X22,2",NORTON STD,1000.0,1000.0,0.0,FULL,F. 2-12-2025,2025
FLAP PLANO-FIBRA   115MM-G  40,BULONFER,500.0,500.0,0.0,FULL,F. 2-12-2025,2025
DISCO FLAP OX ZIRCONIO R822 NORZON FEPA 40 180 X 22,NORTON STD,500.0,500.0,0.0,FULL,F. 2-12-2025,2025
"ELECTRODO CONARCO 18 3,25 MM X KG",CONARCO,5000.0,5000.0,0.0,FULL,F. 2-12-2025,2025
DISCOS DE SIERRA CIRCULAR - 184MM 7 1/4'' - 40 DIENTES ATB - OPTILINE,BOSCH,10.0,10.0,0.0,FULL,F. 2-12-2025,2025
"DISCO DE CORTE CD T42  MASTER ACERO 115X3,0X22.2",DOBLE A - DIS,1000.0,1000.0,0.0,FULL,F. 2-12-2025,2025
CINTA METRICA EVEL PREMIUMBLOK - AUTOMATICA 10 MTS,EVEL,12.0,12.0,0.0,FULL,F. 2-12-2025,2025
TEFLON ALTA DENSIDAD  1X10,LATYN - PLAS,100.0,100.0,0.0,FULL,F. 2-12-2025,2025
POLIETILENO NEGRO PREMIUM 3 X 50 MT  MICR 200 NEGRO,AGROREDES,1000.0,1000.0,0.0,FULL,F. 2-12-2025,2025
"DISCO CORTE PLANO LINEA QUANTUM 177,8X1,6X22,2",NORTON STD,1200.0,1200.0,0.0,FULL,F. 2-12-2025,2025
"DISCO DE CORTE T41  MASTER ACERO 180X1,6X22,2",DOBLE A - DIS,1800.0,1800.0,0.0,FULL,F. 2-12-2025,2025
MACHO CAJA ROJA MA 10 x 1.50,BULONFER,5.0,5.0,0.0,FULL,F. 2-12-2025,2025
,,,,,,F. 2-12-2025,2025
BATERIAS 9 V,SICA,50,50.0,0.0,FULL,F. 8-11-2025,2025
CRISTAL INCOLORO RECTAN.105X50,BULONFER,2000,2000.0,0.0,FULL,F. 8-11-2025,2025
PUNTA ALETADA MINIFLEX  50 X 30  #40,CORMET,300,300.0,0.0,FULL,F. 8-11-2025,2025
"LLAVE BIASSONI   AJUSTABLE - 10""",BIASSONI,20,20.0,0.0,FULL,F. 8-11-2025,2025
PILAS AA -  BLISTER DE 4 UNIDADES,SICA,100,54.0,46.0,PARCIAL,F. 8-11-2025,2025
DISCO CENTRO DEPRIMIDO 114X7,TYROLIT,500,500.0,0.0,FULL,F. 8-11-2025,2025
LIMPIADOR PISOS MARINA ZAP 5L  -  DESODORANTE,ZAP,300,300.0,0.0,FULL,F. 8-11-2025,2025
LIMPIADOR PISOS PINO ZAP 5 T  -  DESODORANTE,ZAP,300,300.0,0.0,FULL,F. 8-11-2025,2025
CINTA 903 48 X 40,DOBLE A - CIN,800,800.0,0.0,FULL,F. 8-11-2025,2025
"ELECTRODO KISWELL  7018 -  2,60 MM   X KG",KISWELL,500,500.0,0.0,FULL,F. 8-11-2025,2025
"ELECTRODO KISWELL  7018 -  3,20 MM  X KG",KISWELL,2000,2000.0,0.0,FULL,F. 8-11-2025,2025
"ALAMBRE TUBULAR LINCOLN E71T-1C EN 1,2M (X ROLLO DE 15KG)",LINCOLN EQU,50,50.0,0.0,FULL,F. 8-11-2025,2025
"ELECTRODO CONARCO 18 2,50 MM X KG",CONARCO,1500,1500.0,0.0,FULL,F. 8-11-2025,2025
VARILLA ER70S-3 MERIT JG-51 X CAJA DE 5 KG,LINCOLN CON,200,200.0,0.0,FULL,F. 8-11-2025,2025
BOLSAS 90 X120 CM VERDES 80 MICRONES,FASTER BAGS,1000,1000.0,0.0,FULL,F. 8-11-2025,2025
BOLSAS 90 X120 CM ROJAS 80 MICRONES,FASTER BAGS,1000,1000.0,0.0,FULL,F. 8-11-2025,2025
BOLSAS 90 X120 CM AMARILLAS 80 MICRONES,FASTER BAGS,1000,1000.0,0.0,FULL,F. 8-11-2025,2025
FILM STRETCH 0.5X350 VIRGEN,AGROREDES,30,30.0,0.0,FULL,F. 8-11-2025,2025
TEFLON ALTA DENSIDAD  1X10,LATYN - PLAS,100,100.0,0.0,FULL,F. 8-11-2025,2025
TEFLON ALTA DENSIDAD  1/2X40,LATYN - PLAS,100,100.0,0.0,FULL,F. 8-11-2025,2025
WD-40® 155G,CAMPI,36,36.0,0.0,FULL,F. 8-11-2025,2025
CANDADO SEKUR 40 ESTANDARD,SEKUR,30,30.0,0.0,FULL,F. 8-11-2025,2025
CANDADO SEKUR 31 ESTANDARD,SEKUR,50,50.0,0.0,FULL,F. 8-11-2025,2025
PINZA PORTA ELECT. HELICTOR 600,HELICTOR,40,40.0,0.0,FULL,F. 8-11-2025,2025
"DISCO CORTE PLANO LINEA QUANTUM 115,3X1,6X22,2",NORTON STD,1500,1500.0,0.0,FULL,F. 8-11-2025,2025
PINZA PORTA MASA HELICTOR 600,HELICTOR,40,40.0,0.0,FULL,F. 8-11-2025,2025
"DISCO DE CORTE CD T42  MASTER ACERO 115X3,0X22.2",DOBLE A - DIS,500,500.0,0.0,FULL,F. 8-11-2025,2025
DISCO PLANO TYROLIT EXTRA SECUR  178X1.6,TYROLIT,1000,1000.0,0.0,FULL,F. 8-11-2025,2025
"DISCO CORTE PLANO BNA 12 177,8X1,6X22,2",NORTON,1000,1000.0,0.0,FULL,F. 8-11-2025,2025
"DISCO DE CORTE CD T42  MASTER ACERO 180X3,0X22,2",DOBLE A - DIS,300,300.0,0.0,FULL,F. 8-11-2025,2025
DISCO FLAP OX ZIRCONIO R822 NORZON FEPA 40 180 X 22,NORTON STD,300,300.0,0.0,FULL,F. 8-11-2025,2025
DISCO FLAP OX ZIRCONIO R822 NORZON FEPA 40 115 X 22,TEKBOND,300,300.0,0.0,FULL,F. 8-11-2025,2025
PUNTA ALETADA MINIFLEX  70 X 30  #40,CORMET,300,300.0,0.0,FULL,F. 8-11-2025,2025
"HOJA TELA ESMERIL ""DOBLE A"" 60",DOBLE A - LIJ,300,300.0,0.0,FULL,F. 8-11-2025,2025
"DISCO ""FENOBOND"" 178X22   36",DOBLE A - LIJ,500,500.0,0.0,FULL,F. 8-11-2025,2025
ELECT. TUNG. THORIO Ø 2.4MM X 175MM,FERROLAN,1000,1000.0,0.0,FULL,F. 8-11-2025,2025
BUSA WP/17/18/26 Ø 12.7MM (1/2 # 8,FERROLAN,300,300.0,0.0,FULL,F. 8-11-2025,2025
BUSA WP17/18/26 Ø 11MM (7/16 ) # 7,FERROLAN,300,300.0,0.0,FULL,F. 8-11-2025,2025
BUSA WP17/18/26 Ø 10MM (3/8 ) # 6,FERROLAN,300,300.0,0.0,FULL,F. 8-11-2025,2025
CUERPO DE TORCHA 200A,FERROLAN,50,50.0,0.0,FULL,F. 8-11-2025,2025
BOLSA RAFIA 40 X 60,AGROMARC,900,900.0,0.0,FULL,F. 8-11-2025,2025
POLIETILENO NEGRO PREMIUM 3 X 50 MT  MICR 200 NEGRO,AGROREDES,2000,2000.0,0.0,FULL,F. 8-11-2025,2025
"NIVEL DE ALUMINIO - I-BEAN - 18""",BIASSONI,20,20.0,0.0,FULL,F. 8-11-2025,2025
"NIVEL DE ALUMINIO - I-BEAN - 12""",BIASSONI,20,20.0,0.0,FULL,F. 8-11-2025,2025
CINTA METRICA 5M X 25MM,IRIMO,20,20.0,0.0,FULL,F. 8-11-2025,2025
NIVEL BIASSONI -I-BEAN- 18'',BIASSONI,20,20.0,0.0,FULL,F. 8-11-2025,2025
"LLAVE BIASSONI   AJUSTABLE - 12""",BIASSONI,20,20.0,0.0,FULL,F. 8-11-2025,2025
DESTORNILLADOR MANGO GOMA  PL (-) 6.5 (Ø6X150MM)   BREMEN®,BREMEN,15,15.0,0.0,FULL,F. 8-11-2025,2025
CEPILLO DE ACERO MANGO CURVO 4X19,CALABRO,30,30.0,0.0,FULL,F. 8-11-2025,2025
JUEGO DE LLAVES ALLEN EXTRA LARGO MM Y TORX 18 PZAS,BIASSONI,1,1.0,0.0,FULL,F. 8-11-2025,2025
AEROSOL SMART PAINT AA VERDE OSCURO  350ML/250G,DOBLE A - AE,90,90.0,0.0,FULL,F. 8-11-2025,2025
PINCEL ELEFANTE SERIE 1000 N° 10 ,EL GALGO,500,500.0,0.0,FULL,F. 8-11-2025,2025
DIFUSOR Ø 2.4MM WP-17/18/26,FERROLAN,400,400.0,0.0,FULL,F. 8-11-2025,2025
PINCEL ELEFANTE SERIE 1000 Nº 15,EL GALGO,500,500.0,0.0,FULL,F. 8-11-2025,2025
PINCEL ELEFANTE SERIE 1000 Nº 20,EL GALGO,500,500.0,0.0,FULL,F. 8-11-2025,2025
PILAS AAA - BLISTER DE 4 UNIDADES,SICA,100,100.0,0.0,FULL,F. 8-11-2025,2025
MORDAZA Ø 2.4MM WPM-17/18/26,FERROLAN,400,400.0,0.0,FULL,F. 8-11-2025,2025
REGULADOR CAUDALIMETRO ARGON (LINEA INDUSTRIAL),FERROLAN,20,20.0,0.0,FULL,F. 8-11-2025,2025
TRAPO DE PISO GRIS 48 X 62 APROX,SINA,1000,1000.0,0.0,FULL,F. 8-11-2025,2025
REJILLA CALIFORNIA 45 X 42 APROX,SINA,1000,1000.0,0.0,FULL,F. 8-11-2025,2025
RAID MMM AEROSOL 5EN1 360CC,JHONSON,600,600.0,0.0,FULL,F. 8-11-2025,2025
